a	aː7
á	aːɜ
à	aː2
ã	aː5
ả	aː4
ạ	aː6
ác	aːɜ c
ắc	aɜ c
ặc	a6 c
ậc	ə6 c
ạc	aː6 c
ách	eɜ c
ạch	e6 c
ai	aː7 j
ái	aːɜ j
ải	aː4 j
am	aː7 m
ám	aːɜ m
ăm	a7 m
ẵm	a5 m
âm	ə7 m
ấm	əɜ m
ầm	ə2 m
ẩm	ə4 m
ậm	ə6 m
ảm	aː4 m
an	aː7 n
án	aːɜ n
ăn	a7 n
ân	ə7 n
ấn	əɜ n
ẩn	ə4 n
ang	aː7 ŋ
áng	aːɜ ŋ
ăng	a7 ŋ
ắng	aɜ ŋ
ằng	a2 ŋ
ẳng	a4 ŋ
ầng	ə2 ŋ
ảng	aː4 ŋ
anh	e7 ɲ
ánh	eɜ ɲ
ành	e2 ɲ
ảnh	e4 ɲ
ao	aː7 w
áo	aːɜ w
ào	aː2 w
ảo	aː4 w
áp	aːɜ p
ắp	aɜ p
ấp	əɜ p
ập	ə6 p
át	aːɜ t̪
ắt	aɜ t̪
ất	əɜ t̪
ạt	aː6 t̪
au	a7 w
âu	ə1 w
ấu	əɜ w
ầu	ə2 w
ẩu	ə4 w
ay	a7 j
áy	aɜ j
ây	əɪ7
ấy	əɪɜ
ầy	əɪ2
ẩy	əɪ4
b	b e7
ba	b aː7
bá	b aːɜ
bà	b aː2
bã	b aː5
bả	b aː4
bạ	b aː6
bác	b aːɜ c
bắc	b aɜ c
bặc	b a6 c
bấc	b əɜ c
bậc	b ə6 c
bạc	b aː6 c
bách	b eɜ c
bạch	b e6 c
bai	b aː7 j
bái	b aːɜ j
bài	b aː2 j
bãi	b aː5 j
bải	b aː4 j
bại	b aː6 j
bam	b aː7 m
bám	b aːɜ m
bàm	b aː2 m
băm	b a7 m
bằm	b a2 m
bẵm	b a5 m
bẳm	b a4 m
bặm	b a6 m
bấm	b əɜ m
bầm	b ə2 m
bẫm	b ə5 m
bẩm	b ə4 m
bậm	b ə6 m
bạm	b aː6 m
ban	b aː7 n
bán	b aːɜ n
bàn	b aː2 n
băn	b a7 n
bắn	b aɜ n
bằn	b a2 n
bẳn	b a4 n
bặn	b a6 n
bân	b ə7 n
bấn	b əɜ n
bần	b ə2 n
bẩn	b ə4 n
bận	b ə6 n
bản	b aː4 n
bạn	b aː6 n
bang	b aː7 ŋ
báng	b aːɜ ŋ
bàng	b aː2 ŋ
băng	b a7 ŋ
bắng	b aɜ ŋ
bằng	b a2 ŋ
bẵng	b a5 ŋ
bặng	b a6 ŋ
bâng	b ə7 ŋ
bấng	b əɜ ŋ
bầng	b ə2 ŋ
bậng	b ə6 ŋ
bảng	b aː4 ŋ
bạng	b aː6 ŋ
banh	b e7 ɲ
bánh	b eɜ ɲ
bành	b e2 ɲ
bãnh	b e5 ɲ
bảnh	b e4 ɲ
bạnh	b e6 ɲ
bao	b aː7 w
báo	b aːɜ w
bào	b aː2 w
bão	b aː5 w
bảo	b aː4 w
bạo	b aː6 w
báp	b aːɜ p
bắp	b aɜ p
bặp	b a6 p
bấp	b əɜ p
bập	b ə6 p
bạp	b aː6 p
bát	b aːɜ t̪
bắt	b aɜ t̪
bặt	b a6 t̪
bất	b əɜ t̪
bật	b ə6 t̪
bạt	b aː6 t̪
bau	b a7 w
báu	b aɜ w
bàu	b a2 w
bâu	b ə1 w
bấu	b əɜ w
bầu	b ə2 w
bẩu	b ə4 w
bậu	b ə6 w
bảu	b a4 w
bạu	b a6 w
bay	b a7 j
bày	b a2 j
bây	b əɪ7
bấy	b əɪɜ
bầy	b əɪ2
bẫy	b əɪ5
bẩy	b əɪ4
bậy	b əɪ6
bảy	b a4 j
be	b ɛ7
bé	b ɛɜ
bè	b ɛ2
bê	b e7
bế	b eɜ
bề	b e2
bễ	b e5
bể	b e4
bệ	b e6
bẽ	b ɛ5
bẻ	b ɛ4
bẹ	b ɛ6
béc	b ɛɜ c
bẹc	b ɛ6 c
béch	b ɛɜ c
bếch	b eɜ c
bệch	b e6 c
bèm	b ɛ2 m
bẻm	b ɛ4 m
ben	b ɛ7 n
bén	b ɛɜ n
bèn	b ɛ2 n
bên	b e7 n
bến	b eɜ n
bền	b e2 n
bển	b e4 n
bện	b e6 n
bẽn	b ɛ5 n
bẹn	b ɛ6 n
beng	b ɛ7 ŋ
béng	b ɛɜ ŋ
bênh	b e7 ɲ
bếnh	b eɜ ɲ
bềnh	b e2 ɲ
bểnh	b e4 ɲ
bệnh	b e6 ɲ
beo	b ɛ7 w
béo	b ɛɜ w
bèo	b ɛ2 w
bẽo	b ɛ5 w
bẻo	b ɛ4 w
bẹo	b ɛ6 w
bép	b ɛɜ p
bếp	b eɜ p
bệp	b e6 p
bẹp	b ɛ6 p
bét	b ɛɜ t̪
bết	b eɜ t̪
bệt	b e6 t̪
bẹt	b ɛ6 t̪
bêu	b e1 w
bều	b e2 w
bệu	b e6 w
bi	b i7
bí	b iɜ
bì	b i2
bĩ	b i5
bỉ	b i4
bị	b i6
bia	b iə7
bìa	b iə2
